teamId,name,teamCreationTime,teamEndTime,strength,currentLevel
79,O1uJX7C,2016-06-12 15:33:27,9999-12-31 23:59:59,0.774473575316,1
92,WeLHp8HZ,2016-06-12 21:54:20,9999-12-31 23:59:59,0.17192602642,1
6,mARlfz,2016-06-12 23:02:16,9999-12-31 23:59:59,0.537353043526,1
7,xO41jlAo0Y,2016-06-13 06:03:03,9999-12-31 23:59:59,0.394370370549,1
40,vdwO0k1,2016-06-13 07:01:03,9999-12-31 23:59:59,0.706832959169,1
18,VpF5Lrtz7,2016-06-13 12:23:36,9999-12-31 23:59:59,0.885469892018,1
91,8brfgFZi6,2016-06-13 12:33:58,9999-12-31 23:59:59,0.478092156292,1
90,0sicoF7Pl,2016-06-13 13:06:10,9999-12-31 23:59:59,0.443162418548,1
78,eGBdAiM6ti,2016-06-13 13:46:53,9999-12-31 23:59:59,0.796923109534,1
1,Rlwjub4jqE,2016-06-13 14:20:52,9999-12-31 23:59:59,0.105268242757,1
58,0mwsnlGWqp,2016-06-13 14:37:27,9999-12-31 23:59:59,0.0806928554105,1
32,lFjyoVh,2016-06-13 14:51:16,9999-12-31 23:59:59,0.276723269022,1
25,5WSGJw,2016-06-13 15:33:04,9999-12-31 23:59:59,0.894528574547,1
59,I7dtH5Ixx5o,2016-06-13 16:09:13,9999-12-31 23:59:59,0.611500392972,1
9,pDG2bAh8T,2016-06-13 17:39:55,9999-12-31 23:59:59,0.952175553216,1
37,q0jkZDf,2016-06-13 18:52:39,9999-12-31 23:59:59,0.941534160791,1
8,5aw5S13OD,2016-06-13 19:26:05,9999-12-31 23:59:59,0.908268818406,1
53,EkwgEvX3h,2016-06-13 19:36:42,9999-12-31 23:59:59,0.237000437615,1
94,mjKIyWQpvVy,2016-06-14 00:23:46,9999-12-31 23:59:59,0.765548732176,1
68,Q6MKfUUY1l,2016-06-14 00:26:33,9999-12-31 23:59:59,0.31657918715,1
17,32thbvY,2016-06-14 01:52:03,9999-12-31 23:59:59,0.385199095987,1
35,b3PqpjmZ6TT,2016-06-14 02:08:07,9999-12-31 23:59:59,0.836061494696,1
55,RHzLMSmYD,2016-06-14 03:04:57,9999-12-31 23:59:59,0.826073746068,1
89,12ih0Xz,2016-06-14 04:06:59,9999-12-31 23:59:59,0.260042803074,1
43,hJ2Ziv,2016-06-14 05:56:57,9999-12-31 23:59:59,0.745309620483,1
44,XGDcC22k,2016-06-14 06:28:18,9999-12-31 23:59:59,0.767191204445,1
3,6nX33h,2016-06-14 07:15:48,9999-12-31 23:59:59,0.575897759388,1
2,ef8SlZSnjqq,2016-06-14 07:23:05,9999-12-31 23:59:59,0.146636553695,1
54,ALld75HTBh1,2016-06-14 07:37:27,9999-12-31 23:59:59,0.350676528613,1
97,LjcMqQ,2016-06-14 09:53:46,9999-12-31 23:59:59,0.340788463107,1
22,Qj41nn,2016-06-14 10:20:56,9999-12-31 23:59:59,0.47269158141,1
29,53sGe7vPb,2016-06-14 10:26:17,9999-12-31 23:59:59,0.612082784641,1
5,zbkogV,2016-06-14 10:50:29,9999-12-31 23:59:59,0.275224179681,1
36,uu0ZOMz,2016-06-14 10:53:42,9999-12-31 23:59:59,0.642122051019,1
72,AtgjG0,2016-06-14 11:11:28,9999-12-31 23:59:59,0.352470037946,1
38,UyRXy45DF,2016-06-14 15:08:57,9999-12-31 23:59:59,0.369187727695,1
98,4SiD9f,2016-06-14 15:09:54,9999-12-31 23:59:59,0.672242159898,1
101,t1tqUapfHxV,2016-06-14 15:25:50,9999-12-31 23:59:59,0.947642096548,1
83,jxOITbhHns,2016-06-14 15:58:41,9999-12-31 23:59:59,0.431316110723,1
96,3DXDxz,2016-06-14 16:03:02,9999-12-31 23:59:59,0.00401521168869,1
27,87oPQXq,2016-06-14 16:24:14,9999-12-31 23:59:59,0.141376627543,1
14,0C9CGHMm8,2016-06-14 16:51:02,9999-12-31 23:59:59,0.761684094435,1
65,WtV53j6Q,2016-06-14 17:11:46,9999-12-31 23:59:59,0.0382128885255,1
42,q2JxyPyeOr,2016-06-14 18:10:22,9999-12-31 23:59:59,0.412988525903,1
66,w6rLDXAJO,2016-06-14 18:56:39,9999-12-31 23:59:59,0.34348462196,1
0,8JqHAD,2016-06-14 19:32:57,9999-12-31 23:59:59,0.174879834235,1
71,zlxwwCGp3,2016-06-14 20:41:01,9999-12-31 23:59:59,0.456056312379,1
62,KOmGcYr,2016-06-14 22:13:43,9999-12-31 23:59:59,0.854443773841,1
33,zxD2k3Md,2016-06-14 22:17:59,9999-12-31 23:59:59,0.867932831197,1
16,ZjO2OfxjCnX,2016-06-15 01:30:21,9999-12-31 23:59:59,0.350026567553,1
75,CUHY52XVzcF,2016-06-15 01:41:12,9999-12-31 23:59:59,0.928966887469,1
76,mMby3Ri9W5,2016-06-15 02:15:13,9999-12-31 23:59:59,0.466881288751,1
84,sLUBl98,2016-06-15 02:26:33,9999-12-31 23:59:59,0.153006470268,1
24,J1gJMdD,2016-06-15 02:45:55,9999-12-31 23:59:59,0.0871764027457,1
4,Hnr17oYj,2016-06-15 02:58:28,9999-12-31 23:59:59,0.134574686618,1
41,YqWLaaRsdME,2016-06-15 03:37:39,9999-12-31 23:59:59,0.230523492799,1
64,gjaVPd9DE2P,2016-06-15 03:44:35,9999-12-31 23:59:59,0.406089913506,1
69,ZM3UZhH,2016-06-15 03:59:48,9999-12-31 23:59:59,0.13358763615,1
99,0G8HvkLE,2016-06-15 04:11:50,9999-12-31 23:59:59,0.893053922676,1
47,80S2z9WRUL,2016-06-15 05:24:52,9999-12-31 23:59:59,0.333600283236,1
87,axnYPHkLnsf,2016-06-15 05:35:22,9999-12-31 23:59:59,0.157515631281,1
11,R5SYibpiHpE,2016-06-15 05:38:15,9999-12-31 23:59:59,0.0495931577569,1
45,vKGqh2,2016-06-15 05:53:49,9999-12-31 23:59:59,0.758823957896,1
26,oLLqj3,2016-06-15 06:29:13,9999-12-31 23:59:59,0.259550515709,1
20,F6QSBN0Q3T,2016-06-15 06:56:53,9999-12-31 23:59:59,0.201896828217,1
56,s7xHqo7l06A,2016-06-15 07:02:40,9999-12-31 23:59:59,0.177676089175,1
61,qMqosm6tja,2016-06-15 07:06:10,9999-12-31 23:59:59,0.320057042827,1
93,bjymBRFFL,2016-06-15 07:13:49,9999-12-31 23:59:59,0.575757330183,1
30,z0zUfN,2016-06-15 07:17:02,9999-12-31 23:59:59,0.375768545253,1
73,phgeS3,2016-06-15 07:29:28,9999-12-31 23:59:59,0.449056802683,1
82,MmCEl3,2016-06-15 08:17:39,9999-12-31 23:59:59,0.0132752022046,1
48,zkZSRNh,2016-06-15 08:39:22,9999-12-31 23:59:59,0.407847697871,1
46,5ruGsz7L,2016-06-15 08:43:34,9999-12-31 23:59:59,0.957040325956,1
60,4z6OmoG,2016-06-15 10:02:42,9999-12-31 23:59:59,0.287244722543,1
74,8q0Umalp,2016-06-15 12:19:26,9999-12-31 23:59:59,0.484140400151,1
102,0OXcId,2016-06-15 14:21:33,9999-12-31 23:59:59,0.550882013893,1
81,0h9G0U,2016-06-15 14:42:59,9999-12-31 23:59:59,0.337289509865,1
28,F7sHkK,2016-06-15 17:03:56,9999-12-31 23:59:59,0.668180373589,1
57,zu8iuz,2016-06-15 17:50:52,9999-12-31 23:59:59,0.0859900712952,1
12,WHKzmMokDcK,2016-06-15 22:44:03,9999-12-31 23:59:59,0.943433610576,1
63,eJWo4Fd,2016-06-15 22:52:38,9999-12-31 23:59:59,0.659738471721,1
85,0TgEQap,2016-06-15 23:23:10,9999-12-31 23:59:59,0.132214897776,1
95,5izIUy,2016-06-15 23:26:06,9999-12-31 23:59:59,0.701621474289,1
23,rEFGuUIbBf,2016-06-15 23:51:17,9999-12-31 23:59:59,0.548328319194,1
100,GbqLMPFL,2016-06-16 01:06:03,9999-12-31 23:59:59,0.940340988152,1
51,mvigjg,2016-06-16 02:10:06,9999-12-31 23:59:59,0.6086527331,1
50,EqmYuk,2016-06-16 02:36:06,9999-12-31 23:59:59,0.388263938252,1
31,5ePMsvkuN,2016-06-16 02:55:59,9999-12-31 23:59:59,0.913882906472,1
19,jH3Yj5kx4,2016-06-16 03:36:35,9999-12-31 23:59:59,0.484836131943,1
80,vWE6sjJva,2016-06-16 03:54:29,9999-12-31 23:59:59,0.512520516204,1
39,TKUWYFwSCeT,2016-06-16 03:55:09,9999-12-31 23:59:59,0.718462485619,1
21,VLLgLVA,2016-06-16 03:56:49,9999-12-31 23:59:59,0.497755361335,1
52,tFOqOu0Ekde,2016-06-16 04:11:48,9999-12-31 23:59:59,0.561898233836,1
49,hof3LqTPz0I,2016-06-16 05:08:31,9999-12-31 23:59:59,0.593820685473,1
15,reM0pwun,2016-06-16 05:23:03,9999-12-31 23:59:59,0.0582593393679,1
88,raCNgEU,2016-06-16 06:19:18,9999-12-31 23:59:59,0.405159985631,1
70,Ev6gWyG3,2016-06-16 06:58:07,9999-12-31 23:59:59,0.393763462002,1
34,Pr4Pbrf1,2016-06-16 07:59:42,9999-12-31 23:59:59,0.636515436129,1
86,spSWFkoNDC,2016-06-16 08:34:44,9999-12-31 23:59:59,0.461206368445,1
13,cz8t6Wli,2016-06-16 08:54:54,9999-12-31 23:59:59,0.885665267397,1
67,unYpoCN,2016-06-16 09:29:05,9999-12-31 23:59:59,0.506376902161,1
10,RemREfUFxi,2016-06-16 09:44:59,9999-12-31 23:59:59,0.402480719058,1
77,U96mANQ8,2016-06-16 10:00:06,9999-12-31 23:59:59,0.793839493486,1
139,lbU6rmmn4p,2016-06-02 03:36:54,2016-06-02 07:06:54,0.79874068857,1
143,PtTdlOTqmQE,2016-06-02 17:36:54,2016-06-02 22:06:54,0.0604595393107,1
161,vBm7Odv,2016-06-07 19:36:54,2016-06-08 06:06:54,0.994851162257,1
165,ZLKJDq,2016-06-09 01:06:54,2016-06-09 20:06:54,0.0739882477936,1
171,h53FOIyWf8,2016-06-10 11:06:54,2016-06-10 14:06:54,0.225849099903,1
169,jLMAqXQU,2016-06-10 04:06:54,2016-06-11 06:06:54,0.223407808751,1
